layer,strip,end,multiplier,mpv,eta,sigma,A,chi_square
2,0,1,25,542.3874054125,67.84997729101912,99.39692903769189,691.1033830185166,41.75765916319106
2,1,1,20,442.5407928523482,45.36213381847793,81.01892187147493,1342.9611686008175,63.84514955155297
2,2,1,15,479.13086022152146,43.49556869676007,91.79964590769531,3410.5484406431756,297.5788697035213
2,3,1,10,466.65018172665447,57.43633965189822,83.55356886246791,3934.2275663003493,857.9743020852354
2,4,1,15,431.21907929477504,46.335624369529995,63.3954702396326,3870.5612321355666,1430.6277663854328
2,5,1,20,428.4270243316026,40.085316658837314,79.84283851829484,2036.5990093696278,41.54049755797718
2,6,1,13,460.4464032426786,46.02852827285875,111.76687234140005,594.5588076937693,194.81857451264958
2,7,1,15,586.0088027818184,65.48572301281403,143.36291853209605,328.77902852303237,77.92324608292822
3,0,1,16,610.7831302851744,65.33613019085684,101.61776890150142,740.8360966842798,307.9305933173009
3,1,1,12,532.482400805365,39.48853156232082,119.47759711503777,1541.1511976070144,227.00194658970366
3,2,1,18,670.4678946896972,51.20841356814846,117.55864480917506,3192.4375392105053,188.0078804679342
3,3,1,18,612.9702383224187,55.887578042631105,96.23136296484768,4085.4770415759895,725.2021225955423
3,4,1,20,694.8782381741629,50.70412489762101,127.68155415219316,2266.2182096138763,250.79008482139108
3,5,1,20,649.1905094991641,42.998061563967696,125.86878215175956,971.5764847179626,99.62065664675406
3,6,1,16,698.180799815989,45.431859027910185,158.68434949265813,386.5141045792141,73.33877793622891
3,7,1,12,565.4507449092616,41.184003711940214,163.93924687616132,224.30743327164294,72.75046866321813
4,0,1,19,634.9193974198536,60.549480858743564,118.48233371674115,669.5059789331349,180.59677944731303
4,1,1,24,645.1506621770881,59.57585444729288,92.0340023146614,1034.9641688471963,76.20045725821743
4,2,1,20,560.236870602992,44.674285216668494,109.84033448259694,2929.5177778225125,286.9642813394433
4,3,1,21,627.9354793965616,53.713825941876394,100.02634381576134,3508.3178625860123,267.6448336729301
4,4,1,21,649.6765388363526,49.20282470087317,129.79808583723573,2554.443954299905,263.79063836500546
4,5,1,23,736.8718326793191,53.99312214434498,126.41746515411958,1458.0668861479628,96.1825271033301
4,6,1,11,654.7565612314634,31.248452158743984,193.56586248234092,467.7535780031803,325.95352838136995
4,7,1,12,682.7598806579509,35.02349751997837,177.8606288452044,337.2480138107609,212.4141515388123
5,0,1,21,703.2721788237435,44.302068950106985,142.53005437485055,701.858542110585,354.56746938148046
5,1,1,22,701.902377740795,43.907073746936,130.10633183896397,1390.170742530143,282.50078977450505
5,2,1,24,685.2341059115836,51.468313669288214,108.4642896993071,3303.23841432986,395.2587632394302
5,3,1,24,695.2826899238728,59.138868609429515,100.77071821455084,3957.3801129495137,707.5829144935971
5,4,1,17,734.99461856009,66.2207886446758,125.07803968250509,2196.744761127786,1092.636396580079
5,5,1,25,682.8769158260512,62.94586118680425,116.6534647183436,983.9097259675577,181.46526541689548
5,6,1,20,793.5520894475065,34.08652851007671,186.36091582457564,373.82199011325923,294.1607587292003
5,7,1,27,728.6451146759711,36.891439246034935,161.156582513565,249.54748532999506,68.85478438395593
6,0,1,15,643.2012522064684,51.25623563931677,119.49665761171771,751.1208713309915,334.92865662779775
6,1,1,25,634.0065825674005,45.48946689421942,110.48733591012821,1187.7362097390226,149.3956184237684
6,2,1,21,687.2282430423676,55.15178784219982,111.12618856397766,2873.8765427495814,552.4044297459284
