layer,strip,end,pedestal,std_dev,pedestal_per_time_sample,new_range,new_range2,new_range3
10,0,1,719.8160652885372,14.4983473380165,91,863.7792783462446,792.3078019786196,864.7995386687022
10,1,0,722.9153322121477,14.383898545643142,91,867.4983986545773,794.8348249403634,866.7543176685792
10,1,1,855.3591805895758,15.11023948995598,107,1026.431016707491,930.9103780393557,1006.4615754891356
10,2,0,789.9686930091185,16.218258926527355,95,947.9624316109422,871.0599876417552,952.1512822743921
10,2,1,730.6332689852253,14.176564238729492,91,876.7599227822703,801.5160901788728,872.3989113725202
10,3,0,835.6642359371731,17.34071231130749,105,1002.7970831246076,922.3677974937106,1009.071359050248
10,3,1,783.4822725629135,20.00521568895832,95,940.1787270754962,883.5083510077051,983.5344294524967
10,4,0,828.2019779862118,17.2506789640376,103,993.842373583454,914.4553728063997,1000.7087676265878
10,4,1,777.1807644226146,16.322468622793686,95,932.6169173071376,858.7931075365831,940.4054506505515
10,5,0,782.4272440249309,15.46428358952161,95,938.9126928299172,859.748661972539,937.070079920147
10,5,1,750.0335181822643,13.378796133496271,95,900.0402218187171,816.9274988497457,883.821479517227
10,6,0,746.758448924944,19.760255015721537,95,896.1101387099328,845.5597240035517,944.3609990821594
10,6,1,756.5018563822133,18.22214627238772,95,907.802227658656,847.6125877441519,938.7233191060905
10,7,0,714.771328422865,17.80104727751237,87,857.725594107438,803.7765648104269,892.7818011979888
10,7,1,817.5911230757667,16.988899212983416,103,981.10934769092,902.5356191406838,987.4801152056009
10,8,0,763.0172645589872,12.252709912903502,95,915.6207174707846,824.2808141235047,885.5443636880223
10,8,1,739.5447663557089,15.756795643649474,93,887.4537196268507,818.3287445739563,897.1127227922036
10,9,0,751.9378781646607,10.839732105664517,95,902.3254537975928,806.1365386929832,860.3351992213059
10,9,1,749.8891617833788,11.041846998628612,95,899.8669941400545,805.0983967765218,860.3076317696649
10,10,0,741.5859230719306,10.683436247449096,93,889.9031076863166,795.003104309176,848.4202855464215
10,10,1,736.4123835428923,11.314390020822277,91,883.6948602514707,792.9843336470036,849.556283751115
10,11,0,768.0071847208047,10.604666067455364,95,921.6086216649657,821.0305150580815,874.0538453953584
10,11,1,756.4106789831873,10.122468684825217,95,907.6928147798247,807.0230224073133,857.6353658314395
11,0,0,846.1975774505719,11.951656337678552,105,1015.4370929406862,905.9558591389647,965.7141408273574
11,0,1,755.6480438735409,11.03472033727025,95,906.777652648249,810.8216455598922,865.9952472462435
11,1,0,755.6117730887144,11.052872443150015,95,906.7341277064572,810.8761353044645,866.1404975202145
11,1,1,843.365033080861,10.642206826402562,105,1012.0380396970332,896.5760672128739,949.7871013448867
11,2,0,808.1635351199974,10.693888621769464,101,969.7962421439968,861.6329782288446,915.102421337692
11,2,1,758.2437475576397,11.241214347693097,95,909.8924970691676,814.4498192961053,870.6558910345707
11,3,0,836.3797280673357,15.037578121804309,105,1003.6556736808028,911.5676186763573,986.7555092853788
11,3,1,805.2840029511507,14.894453819418128,101,966.3408035413808,879.7562720482413,954.228541145332
11,4,0,737.3635221818508,15.931515956949486,91,884.836226618221,817.0211019665983,896.6786817513457
11,4,1,834.2513179048118,15.216582290534994,103,1001.101581485774,910.3342293574867,986.4171408101618
11,5,0,735.9098970903859,16.236436030476643,91,883.0918765084631,817.0920772427692,898.2742573951523
11,5,1,853.7861676825906,17.571340429245662,107,1024.5434012191088,941.6428698288189,1029.4995719750473
11,6,0,751.9189166515192,12.501983677756405,95,902.302699981823,814.4288350403012,876.9387534290832
11,6,1,845.9311586350576,13.446291456301465,105,1015.117390362069,913.162615916565,980.3940731980722
11,7,0,857.0682562295369,14.6027749424903,107,1028.4819074754444,930.0821309419885,1003.09600565444
11,7,1,802.1305916035307,16.15092696240287,101,962.5567099242368,882.885226415545,963.6398612275593
11,8,0,776.7226376045268,12.608256610715394,95,932.067165125432,839.7639206581038,902.8052037116807
11,8,1,808.6529459965429,12.213579143835716,101,970.3835351958514,869.7208417157215,930.7887374349001
11,9,0,815.882089128919,10.43785279135762,103,979.0585069547028,868.0713530857071,920.2606170424953
11,9,1,838.0636681104014,10.733370331166077,105,1005.6764017324816,891.7305197662317,945.3973714220622
11,10,0,831.9147496300455,10.626576242737828,103,998.2976995560546,885.0476308437347,938.1805120574238
11,10,1,781.0295258204703,12.388978086742483,95,937.2354309845643,842.9744162541828,904.9193066878952
11,11,0,857.1590758960149,10.959207365710585,107,1028.5908910752178,911.9551127245678,966.7511495531207
11,11,1,777.6011937471501,12.185512586590637,95,933.12143249658,838.5287566801032,899.4563196130564
12,0,0,750.3396517290914,10.55596865395202,95,900.4075820749097,803.1194949988516,855.8993382686116
12,0,1,820.1697644949752,11.962129463806455,103,984.2037173939702,879.9804118140074,939.7910591330398
12,1,0,785.3366059240449,12.82023085192137,95,942.4039271088538,849.4377601836517,913.5389144432586
12,1,1,758.8767253915655,12.072528418990933,95,910.6520704698786,819.2393674865202,879.6020095814748
12,2,0,797.7100046947498,12.952078447230532,99,957.2520056336998,862.4703969309026,927.2307891670551
12,2,1,731.1403181455129,12.88119959410982,91,877.3683817746154,795.5463161160619,859.9523140866111
12,3,0,851.3223434236683,14.122676354802032,107,1021.586812108402,921.9357251976784,992.5491069716886
12,3,1,751.9719897115331,13.096576315327844,95,902.3663876538396,817.4548712881723,882.9377528648115
12,4,0,766.6446394197842,16.658178567121467,95,919.973567303741,849.9355322553915,933.2264250909989
12,4,1,783.5103345285074,16.614198806558615,95,940.2124014342088,866.5813285613006,949.6523225940936
12,5,0,797.6820346007054,17.747194256482352,99,957.2184415208465,886.4180058831171,975.1539771655289
12,5,1,860.4380747750424,15.651915422137298,107,1032.5256897300508,938.6976518857289,1016.9572289964154
12,6,0,745.7546713344434,16.266202579478602,95,894.905605601332,827.0856842318365,908.4166971292294
12,6,1,762.5413076425009,15.937046613058952,95,915.049569171001,842.2265407077956,921.9117737730904
12,7,0,745.5264647828797,14.374178295547758,95,894.6317577394556,817.3973562606184,889.2682477383572
12,7,1,747.6916746771973,15.147142412306415,95,897.2300096126368,823.4273867387294,899.1630988002614
12,8,0,861.4016652658439,13.048653072686246,107,1033.6819983190126,926.6449306292751,991.8881959927064
12,8,1,731.2785754444935,13.680404667865712,91,877.5342905333922,799.6805987838221,868.0826221231507
12,9,0,721.1795549680546,12.630923483783697,91,865.4154659616655,784.3341723869731,847.4887898058915
12,9,1,802.1684051344336,12.892737552615626,101,962.6020861613202,866.6320928975117,931.0957806605898
12,10,0,834.6151755285905,11.392634857290384,103,1001.5382106343086,891.5783498150424,948.5415241014944
12,10,1,873.378578503042,11.005969662842377,111,1048.0542942036504,928.4084268172539,983.4382751314658
12,11,0,735.0327202300741,10.872771832086324,91,882.0392642760889,789.3965793905057,843.7604385509374
12,11,1,750.2982593275311,9.65783710686791,95,900.3579111930374,798.5874448618707,846.8766303962102
13,0,0,725.3388028400037,11.17791113989671,91,870.4065634080044,781.2283585394873,837.1179142389708
13,0,1,803.8054035687924,11.761468678205448,101,964.5664842825508,862.6127469598196,921.4200903508469
13,1,0,769.4224728632619,11.927905712410055,95,923.3069674359142,829.0620014253121,888.7015299873624
13,1,1,748.2257016406954,11.042989602153789,95,897.8708419688345,803.4406496514644,858.6555976622333
13,2,0,780.4519917879487,13.799824601790068,95,936.5423901455384,849.451114796899,918.4502378058494
13,2,1,766.8888726439807,13.313524282302216,95,920.2666471727769,833.4564940554917,900.0241154670028
13,3,0,864.408005672296,13.353780852102927,107,1037.289606806755,931.1769099328106,997.9458141933253
13,3,1,803.9496606444211,13.637358118897174,99,964.7395927733052,872.136451238907,940.3232418333928
13,4,0,774.6029713912727,15.409239829187907,95,929.5235656695272,851.6491705372123,928.6953696831517
13,4,1,807.1212786471854,13.970560811765845,101,968.5455343766224,876.9740827060145,946.8268867648438
13,5,0,829.1486875182235,13.59470386953838,103,994.978425021868,897.1222068659154,965.0957262136073
13,5,1,819.0331846551506,13.641958195807554,103,982.8398215861808,887.2429756341884,955.4527666132262
13,6,0,772.2635370933243,13.04155396696653,95,926.7162445119892,837.471306928157,902.6790767629896
13,6,1,755.9259014317374,11.576327855386362,95,907.1110817180848,813.8075407086692,871.6891799856011
13,7,0,833.2878575425844,12.274945831844263,105,999.9454290511012,894.6625867018058,956.0373158610271
13,7,1,834.9563943435259,12.08362581687305,105,1001.9476732122308,895.3745234278911,955.7926525122564
13,8,0,803.7601809136138,10.899005932447643,101,964.5122170963364,858.2552105758521,912.7502402380902
13,8,1,848.1257952660937,9.959471591915207,107,1017.7509543193124,897.9231532256698,947.7205111852459
13,9,0,774.0751227281912,10.28397225768935,95,928.8901472738294,825.494984016638,876.9148453050847
13,9,1,825.2894126876582,9.6527073896686,103,990.3472952251898,873.5529496360012,921.8164865843443
13,10,0,713.0966778539241,10.533345106307522,89,855.7160134247089,765.7634033854617,818.4301289169994
13,10,1,751.5180045649508,10.005930331458764,95,901.821605477941,801.5476562222447,851.5773078795385
13,11,0,740.6099978138891,9.971807187874212,95,888.7319973766669,790.4690337532602,840.3280696926312
13,11,1,861.8498349474237,9.257443322045184,109,1034.2198019369084,908.1370515576496,954.4242681678755
14,0,0,751.7754528108029,9.643194439155089,95,902.1305433729634,799.9914250065783,848.2073972023538
